m/z	i
3416.73 53722
3417.09 59348
3417.44 64273
3417.79 64182
3418.15 61203
3418.50 56411
3418.85 50484
3419.21 46088
3419.56 40673
3419.92 35041
3420.27 30695
3420.62 26000
3420.98 22172
3421.33 18832
3421.68 13605
3422.04 9840
3422.39 7437
3422.75 6364
3423.10 7741
3423.45 6897
3423.81 6670
3424.16 8201
3424.51 11075
3424.87 15047
3425.22 17810
3425.58 20420
3425.93 19558
3426.28 16941
3426.64 16216
3426.99 19946
3427.35 24657
3427.70 28803
3428.05 30888
3428.41 33856
3428.76 36576
3429.12 35298
3429.47 35725
3429.82 35302
3430.18 32603
3430.53 31787
3430.89 30807
3431.24 31100
3431.59 29596
3431.95 25236
3432.30 20998
3432.66 18261
3433.01 17639
3433.37 16317
3433.72 13249
3434.07 6945
3434.43 3183
3434.78 2123
3435.14 -1
3435.49 -7
3435.85 -1580
3436.20 -2480
3436.56 -3615
3436.91 -5152
3437.26 -7162
3437.62 -10112
3437.97 -11910
3438.33 -11913
3438.68 -12089
3439.04 -9516
3439.39 -7305
3439.75 -6821
3440.10 -6584
3440.46 -6792
3440.81 -8025
3441.17 -3782
3441.52 4523
3441.88 11988
3442.23 18537
3442.58 24862
3442.94 33100
3443.29 40396
3443.65 42962
3444.00 45325
3444.36 48388
3444.71 53140
3445.07 52897
3445.42 49033
3445.78 47723
3446.13 46395
3446.49 44905
3446.84 43448
3447.20 39432
3447.55 35684
3447.91 28300
3448.26 20733
3448.62 15033
3448.97 11435
3449.33 8953
3449.68 10216
3450.04 11527
3450.39 10696
3450.75 9419
3451.11 11421
3451.46 13939
3451.82 16793
3452.17 18099
3452.53 17409
3452.88 19271
3453.24 20919
3453.59 19948
3453.95 19251
3454.30 17227
3454.66 11721
3455.01 6818
3455.37 3171
3455.72 -1159
3456.08 -1390
3456.44 -3536
3456.79 -3649
3457.15 -791
3457.50 1049
3457.86 -1330
3458.21 -2405
3458.57 -4068
3458.92 -4835
3459.28 -2128
3459.64 4288
3459.99 9186
3460.35 11232
3460.70 10662
3461.06 11857
3461.41 15736
3461.77 17057
3462.13 14834
3462.48 10269
3462.84 3274
3463.19 496
3463.55 1688
3463.91 3363
3464.26 3414
3464.62 5897
3464.97 4315
3465.33 1887
3465.69 -1399
3466.04 -3945
3466.40 -4563
3466.75 -2403
3467.11 -1217
3467.47 804
3467.82 3188
3468.18 4604
3468.53 3887
3468.89 3084
3469.25 3131
3469.60 4498
3469.96 3589
3470.31 2473
3470.67 3025
3471.03 6374
3471.38 10805
3471.74 16011
3472.10 22418
3472.45 26185
3472.81 25748
3473.17 26287
3473.52 22857
3473.88 21097
3474.23 21009
3474.59 22340
3474.95 23967
3475.30 26005
3475.66 25203
3476.02 23884
3476.37 21895
3476.73 20856
3477.09 21729
3477.44 19564
3477.80 16295
3478.16 14426
3478.51 13812
3478.87 12698
3479.23 13554
3479.58 16443
3479.94 18823
3480.30 19389
3480.65 17367
3481.01 14049
3481.37 10534
3481.72 7691
3482.08 5862
3482.44 6032
3482.79 3641
3483.15 4283
3483.51 6535
3483.86 9720
3484.22 11180
3484.58 15030
3484.94 17534
3485.29 20612
3485.65 22123
3486.01 17804
3486.36 13329
3486.72 11731
3487.08 7888
3487.44 3651
3487.79 3928
3488.15 3805
3488.51 -21
3488.86 -4235
3489.22 -7727
3489.58 -6344
3489.94 -6322
3490.29 -5119
